state_code,LGD_ST_Code,state_name,district_code,LGD_Dist_Code,district_name,total_no_of_job_cards_issued,total_no_of_workers,total_no_of_active_job_cards,total_no_of_active_workers,sc_worker_percentage_against_acive_workers,st_worker_percentage_against_active_workers,approved_labour_budget,persondays_of_central_liability_so_far,sc_persondays_percentage_of_total,st_persondays_percentage_of_total,women_persondays_percentage_of_total,average_days_employment_per_household,average_wage_rate_per_day_per_person,total_no_of_HHs_completed_100_days,total_households_worked,total_individuals_worked,differently_abled_persons_worked,no_of_GPs_with_NIL_expenditure,total_no_of_works_taken_up_new_and_spillover,no_of_ongoing_works,no_of_completed_works,percentage_of_NRM_expenditure_in_MWC_blocks,percentage_of_category_B_works,percentage_expenditure_on_agriculture_and_allied_works,total_expenditure,wages,material_and_skilled_wages,total_admin_expenditure,district_normalized,Total_AWCs,Total_Children
17,23,MADHYA PRADESH,1734,418.0,NARSINGHPUR,158139,279818,83312,156776,28555,30037,1707637,1749802,324605,302034,620440,45,247.697400945934,240,38394,55404,107,1,23725,17630,6095,48.21,84,43.96,5501.93407032797,4334.21407569997,558.203444628,609.51655,NARSINGHPUR,,
17,23,MADHYA PRADESH,1735,415.0,MANDLA,257260,540043,216833,464016,32517,272254,6849899,5439147,343527,3406648,3024708,36,236.366436954177,1725,148534,231000,2896,0,39859,17822,22037,76.0,83,64.56,15564.55797082,12856.3179646,1923.52779622,784.71221,MANDLA,,
17,23,MADHYA PRADESH,1736,399.0,CHHINDWARA,295802,677209,231931,543892,88271,273866,6032063,5567712,797686,2934139,2868493,39,249.73657877778,1545,142682,225093,3547,0,49774,29515,20259,70.14,85,46.22,19122.5871248369,13904.6134649999,4074.578039837,1143.39562,CHHINDWARA,,
17,23,MADHYA PRADESH,1737,428.0,SEONI,229158,539032,193006,462082,56954,213631,6198135,4674233,539610,2177152,2587303,36,216.691109407683,840,126471,213194,2921,0,35141,21629,13512,75.43,78,56.24,13032.735709217,10128.647344,1949.636785217,954.45158,SEONI,,
17,23,MADHYA PRADESH,1738,392.0,BALAGHAT,321096,678002,269655,582039,27347,131682,7234977,5745858,243435,1683866,3480963,33,253.792921403558,1299,170640,256373,5606,0,33975,20713,13262,84.12,80,73.08,19010.400385738,14582.5808779,3367.481077838,1060.33843,BALAGHAT,,
17,23,MADHYA PRADESH,1739,431.0,SHEOPUR,172907,284259,99085,166688,20934,54490,1852489,2869541,309908,879774,1171685,46,254.390509168542,210,61503,83186,337,1,33396,20032,13364,67.53,86,35.0,10710.1958453161,7299.83996070007,3091.374124616,318.98176,SHEOPUR,,
17,23,MADHYA PRADESH,1740,436.0,UMARIA,122430,210896,89826,161967,12272,89214,1812103,1507453,101254,868102,729682,33,248.297127671639,299,45680,68397,554,0,19600,15151,4449,63.03,86,43.62,5241.21528429695,3742.96249999995,1216.059244297,282.19354,UMARIA,,
17,23,MADHYA PRADESH,1741,419.0,NEEMUCH,94108,206252,51172,116288,15620,11942,1168026,1215323,169089,119540,418691,43,259.425557000073,93,27677,40584,265,0,15827,8882,6945,60.91,83,40.87,4331.848008885,3152.8584621,884.861676785001,294.12787,NEEMUCH,,
17,23,MADHYA PRADESH,1742,393.0,BARWANI,226428,506271,132679,310121,33587,233771,2596928,2682274,239297,2075299,1128599,44,247.808315291429,834,60054,101889,582,0,39417,30348,9069,50.78,91,33.94,7974.89936383103,6646.89801090003,727.552672931,600.44868,BARWANI,,
17,23,MADHYA PRADESH,1743,408.0,HARDA ,53011,120674,32994,77816,19851,31761,594894,706431,182670,271836,281467,40,259.652132310162,108,17527,28709,148,0,11890,8279,3611,40.04,85,26.41,2457.67026961,1834.2631548,318.12106481,305.28605,HARDA,,
17,23,MADHYA PRADESH,1744,413.0,KATNI ,176624,373627,134913,286773,45509,82391,2955382,2534122,364618,770144,1426357,33,220.94638965685,271,76505,110145,502,0,14922,10326,4596,85.34,70,65.59,7753.11984104496,5599.05106849996,1577.834512545,576.23426,KATNI,,
17,23,MADHYA PRADESH,1745,404.0,DINDORI,208109,382977,193748,361412,14596,188537,6986774,5533276,203634,3075119,3030298,35,229.982952865529,1586,155168,235044,1565,1,31629,18561,13068,80.9,76,41.93,15718.9149752516,12725.5915349996,2437.721910252,555.60153,DINDORI,,
17,23,MADHYA PRADESH,1746,390.0,ANUPPUR,163007,319064,126740,255595,24508,143337,4237372,3333113,300683,1980194,1668279,40,212.858506498278,1092,81587,124541,1888,0,21688,12119,9569,73.66,87,70.01,8294.75484049894,7094.81455169994,756.153248799,443.78704,ANUPPUR,,
17,23,MADHYA PRADESH,1747,397.0,BURHANPUR,91697,222626,53741,139601,27127,54671,1169935,1141747,209141,522432,551433,37,253.094013481093,389,30745,53993,591,0,14741,12741,2000,57.85,88,36.16,3565.76221925097,2889.69330609997,455.043453151,221.02546,BURHANPUR,,
17,23,MADHYA PRADESH,1748,391.0,ASHOK NAGAR,160988,564054,96470,163180,32687,19596,2614970,3049671,580032,376420,952311,49,261.386280408589,246,61024,82092,408,0,34299,24565,9734,64.2,89,44.81,9509.05978796642,7971.42159159942,1067.381636367,470.25656,ASHOK NAGAR,,
17,23,MADHYA PRADESH,1749,639.0,ALIRAJPUR,151219,330682,107038,246852,36953,197880,3248148,2696569,365959,2178490,982598,46,252.537072313002,1699,57382,91687,1408,0,23591,17964,5627,80.43,87,39.55,9331.079937978,6809.8364055,2125.288802478,395.95473,ALIRAJPUR,,
17,23,MADHYA PRADESH,1750,638.0,SINGRAULI,182271,310365,125839,221504,35053,71456,3208675,3098711,435084,977034,1317012,43,254.314985366451,478,70893,103794,785,0,24972,15816,9156,76.75,82,50.18,9965.38645683659,7880.48642619859,1675.577830638,409.3222,SINGRAULI,,
17,23,MADHYA PRADESH,1751,667.0,AGAR-MALWA,115345,234590,65688,141861,38610,5219,1784821,1875459,491801,59197,733067,46,256.844693373726,186,40616,63375,523,0,24893,21433,3460,62.91,86,38.44,6291.86969507195,4817.01691789995,1137.280987172,337.57179,AGAR-MALWA,,
17,23,MADHYA PRADESH,1752,722.0,NIWARI,51904,89563,37086,63660,7875,7400,1009337,636312,78449,65175,242384,36,258.272114654448,16,17596,24701,91,0,8573,7254,1319,74.18,75,35.77,2733.09226994001,1643.41645820001,893.81276174,195.86305,NIWARI,,
18,27,MAHARASHTRA,1802,497.0,THANE,170466,390924,46939,150113,4855,59737,532652,1175455,30781,566526,629914,38,305.061732146276,1537,30194,54995,217,7,28228,21828,6400,16.16,98,16.39,4069.20614895301,3585.86338360001,435.548945353,47.79382,THANE,,
18,27,MAHARASHTRA,1803,491.0,RAIGAD,226200,407451,43151,96752,3397,27091,306147,727816,18100,301399,369487,31,308.15769337305,469,23065,36856,186,63,27659,24080,3579,12.78,91,14.66,3581.639314048,2242.8209976,1304.588206448,34.23011,RAIGAD,,
18,27,MAHARASHTRA,1804,492.0,RATNAGIRI,266167,493353,61751,139806,7095,1414,686128,761642,22120,8063,366591,25,317.325572683754,417,29883,43953,234,10,27672,18689,8983,36.78,98,41.38,3222.198962967,2416.8848383,755.444684667,49.86944,RATNAGIRI,,
18,27,MAHARASHTRA,1805,495.0,SINDHUDURG,136007,252363,38226,85624,2966,285,432127,573872,10627,1656,249828,27,322.346009423705,332,20917,33315,175,4,20546,15401,5145,38.34,97,43.16,2330.913386716,1849.8534912,441.821675516,39.23822,SINDHUDURG,,
18,27,MAHARASHTRA,1806,487.0,NASHIK,971314,1938653,267973,735609,14253,298987,3248403,6806226,99303,3189507,3070175,39,307.329067428851,6992,172802,304351,1732,13,128414,85234,43180,16.12,95,19.2,25539.066801518,20917.5108929,4353.133038618,268.42287,NASHIK,,
18,27,MAHARASHTRA,1807,474.0,DHULE,623577,1200201,137766,372083,19411,105352,2745921,2678775,98213,606894,1271399,31,317.128529212044,3910,86049,148455,666,30,58918,50435,8483,47.45,96,48.13,10935.5576726039,8495.15975839993,2379.929194204,60.46872,DHULE,,
18,27,MAHARASHTRA,1808,478.0,JALGAON,766081,1432278,192246,467229,34205,48777,3073615,4644845,221140,382617,2186565,37,346.159510427151,7531,124937,207291,481,17,84792,61481,23311,33.9,96,36.4,21151.583972034,16078.5727121,4968.077899934,104.93336,JALGAON,,
18,27,MAHARASHTRA,1809,466.0,AHILYANAGAR,846459,2075959,187526,544779,33418,33962,3659816,4034184,170625,199672,1905508,37,358.394798685434,6935,108840,195245,357,7,75603,60609,14994,27.83,96,31.03,20780.670857592,14458.3056254,6113.476602192,208.88863,AHILYANAGAR,,
18,27,MAHARASHTRA,1810,490.0,PUNE,436765,937777,69336,183090,10232,24568,707152,852510,28786,72578,385628,27,324.866082591407,288,31271,54162,159,114,29640,22237,7403,30.79,97,35.43,3250.615328193,2769.5158407,459.355697493,21.74379,PUNE,,
18,27,MAHARASHTRA,1811,494.0,SATARA,442603,848808,94801,214251,11748,1231,1089686,1544592,53353,8010,749971,26,317.310679603416,1093,58120,91101,411,12,35211,27814,7397,16.57,96,15.03,6826.268711033,4901.1553723,1839.774128733,85.33921,SATARA,,
18,27,MAHARASHTRA,1812,493.0,SANGLI,342931,608666,64237,140798,8640,344,737528,1252339,44347,2636,529663,34,302.77247179877,838,35986,58178,141,17,24372,15666,8706,28.64,95,30.05,5694.620860309,3791.7377456,1876.345804709,26.53731,SANGLI,,
18,27,MAHARASHTRA,1813,496.0,SOLAPUR,654922,1165859,129508,296211,18335,3334,1841936,2348350,91996,23659,1021187,30,311.790180450103,2334,77683,136264,384,15,48806,41934,6872,49.31,98,49.78,9748.990865865,7321.9247026,2377.417343265,49.64882,SOLAPUR,,
18,27,MAHARASHTRA,1814,480.0,KOLHAPUR,410047,758934,79060,194752,21283,482,696582,1582751,87561,2858,784878,32,322.555458426499,1477,48960,85234,197,39,24481,20139,4342,32.56,96,36.04,6690.89972768499,5105.24974379999,1518.533943885,67.11604,KOLHAPUR,,
18,27,MAHARASHTRA,1815,469.0,Chatrapati Sambhaji Nagar,754345,1595668,269026,711100,29429,14444,11999432,4988801,146264,85099,2386933,37,396.414513186635,8484,134177,245187,1378,10,112282,94344,17938,47.02,96,53.56,35415.843240728,19776.331198,15514.132132728,125.37991,CHATRAPATI SAMBHAJI NAGAR,,
18,27,MAHARASHTRA,1816,479.0,JALNA,631517,1304699,219471,555680,24004,3875,6021315,4540980,169286,28259,2060806,30,336.433658078213,5117,148896,268927,719,18,114027,94527,19500,36.35,94,37.7,24970.688575179,15277.3851266,9460.886948579,232.4165,JALNA,,
18,27,MAHARASHTRA,1817,489.0,PARBHANI,489459,903818,174841,381410,22380,3143,5067819,3888970,141202,25447,1714379,35,364.852339228639,6813,110757,181564,460,24,65011,57687,7324,50.94,95,55.0,19819.964381813,14188.9980169,5460.751654913,170.21471,PARBHANI,,
18,27,MAHARASHTRA,1818,470.0,BEED,895157,1700073,340550,797935,19264,2360,10879644,9529303,194186,27507,4777271,39,382.209271386375,25327,239167,420243,896,37,159958,128737,31221,47.3,90,49.41,57062.2977673769,36421.8795644999,20640.418202877,0.0,BEED,,
18,27,MAHARASHTRA,1819,485.0,NANDED,830854,1743247,227987,582666,88973,46505,5752400,4706014,551319,336934,2243595,33,334.893651191858,7066,138672,232285,420,25,87179,73614,13565,46.66,92,49.84,23765.149096123,15760.1421102,7907.600495923,97.40649,NANDED,,
18,27,MAHARASHTRA,1820,488.0,Dharashiv,374642,788175,89637,225661,21986,1273,2691201,1653912,85578,6269,745588,32,318.251567411084,2417,50763,85524,232,22,31547,27081,4466,48.64,88,49.93,9264.914249441,5263.60086360001,3985.736995841,15.57639,DHARASHIV,,
18,27,MAHARASHTRA,1821,481.0,LATUR,454559,929132,151059,370696,56504,4711,5298602,2951053,271319,30110,1380911,36,367.011714120349,5738,81113,136645,276,5,49378,38278,11100,56.25,92,64.14,15427.646683676,10830.7101999,4550.772673776,46.16381,LATUR,,
18,27,MAHARASHTRA,1822,472.0,BULDHANA,562890,1147178,156122,375624,36955,8578,2124296,2477935,162050,47595,970376,26,312.346200279668,709,93808,144818,260,11,57820,43890,13930,34.93,97,37.28,10015.323354114,7739.7358179,2221.842416214,53.74512,BULDHANA,,
18,27,MAHARASHTRA,1823,467.0,AKOLA,365586,675838,115487,261166,40386,12634,2219996,2591980,304116,99870,1104327,33,332.629179299223,4029,77493,123044,3056,3,56292,42521,13771,37.11,95,36.61,11239.583397552,8621.6818016,2517.782695952,100.1189,AKOLA,,
18,27,MAHARASHTRA,1824,468.0,AMRAVATI,532826,1158696,208726,579025,55352,141634,10954956,5751911,686527,2410483,3178653,48,390.533612882742,20795,118769,227331,1370,4,78509,49476,29033,50.03,86,37.6,32581.8738189449,22463.1458380999,10006.879920845,111.84806,AMRAVATI,,
18,27,MAHARASHTRA,1825,500.0,YAVATMAL,750694,1502893,281769,622431,43533,90301,6275151,6658714,324394,817540,2956777,36,315.883693803338,6853,182058,280994,1009,9,107518,66290,41228,52.16,97,41.11,31244.639171664,21033.791743,10022.228968664,188.61846,YAVATMAL,,
18,27,MAHARASHTRA,1826,498.0,WARDHA,247855,452698,67417,164517,16539,16648,1690648,1391068,102262,117996,626229,40,355.174655272064,2281,34626,59557,353,2,23232,13776,9456,49.75,92,50.23,8321.550088848,4940.7209736,3327.999195248,52.82992,WARDHA,,
18,27,MAHARASHTRA,1827,484.0,NAGPUR,317381,596367,109163,247836,34096,33698,2465174,1541810,190240,196126,722014,34,334.092346002426,2297,44975,66451,347,24,28907,17525,11382,45.17,88,45.18,9104.587289618,5151.0691999,3881.255069718,72.26302,NAGPUR,,
18,27,MAHARASHTRA,1828,471.0,BHANDARA,313532,651565,187229,433967,56239,31141,5047784,4088233,457669,289549,2513507,34,241.119996639135,5554,119415,197783,4793,8,33930,16242,17688,28.49,86,20.0,14517.925844381,9857.5472722,4547.44892218099,112.92965,BHANDARA,,
18,27,MAHARASHTRA,1829,473.0,CHANDRAPUR,406711,949782,186957,519854,61278,109940,5306414,4099144,387347,904585,2153416,34,311.554064346117,5881,117942,202184,804,8,83907,60286,23621,38.69,92,31.9,16386.117870559,12771.0497354,3262.600865159,352.46727,CHANDRAPUR,,
18,27,MAHARASHTRA,1830,475.0,GADCHIROLI,257382,626298,142470,397939,39449,169730,4805449,2910178,243375,1138647,1430863,33,324.496446018766,2883,87879,164036,1018,2,42843,16213,26630,28.8,90,25.16,15337.120804498,9443.42418281999,5807.713001678,85.98362,GADCHIROLI,,
18,27,MAHARASHTRA,1831,486.0,NANDURBAR,706818,1307433,204809,472988,12408,383565,2604243,4691229,84762,3868482,2148055,33,310.135157951147,4275,141622,216964,302,3,121546,100585,20961,22.95,96,23.88,18191.886389717,14549.150469,3467.911760717,174.82416,NANDURBAR,,
18,27,MAHARASHTRA,1832,499.0,WASHIM,333375,648013,126011,287267,25994,10672,3479958,3120695,206669,96007,1399372,34,294.908595729477,2163,90038,149602,1291,4,58830,48786,10044,61.88,97,59.1,12489.098061325,9203.1978015,3209.717099825,76.18316,WASHIM,,
18,27,MAHARASHTRA,1833,476.0,GONDIA,402119,883444,242586,593546,50228,86530,7876004,6168965,461855,914244,3881347,36,279.927808687519,7684,170251,278299,353,13,70906,43048,27858,37.57,87,27.59,22519.61256902,17268.6485432,5165.67494581999,85.28908,GONDIA,,
18,27,MAHARASHTRA,1834,477.0,HINGOLI,301197,656791,109010,272789,47494,46072,2701531,2594599,330279,395861,1159767,38,334.381336067732,4176,67317,115584,156,3,41979,32900,9079,51.74,94,62.69,12123.721946582,8675.8548018,3418.691454782,29.17569,HINGOLI,,
18,27,MAHARASHTRA,1835,665.0,PALGHAR,366214,823202,163362,452773,2213,402658,4980290,4219434,15274,4090587,2383621,35,318.114525220209,6825,119736,220093,1274,16,85397,56308,29089,25.81,92,16.65,22743.9712014131,13422.6324360801,8844.02295533301,477.31581,PALGHAR,,
20,14,MANIPUR,2001,257.0,SENAPATI,45973,51794,42417,48008,17,46330,2658522,1880307,444,1838299,989357,47,275.654391011681,0,39466,40374,5,0,2458,1925,533,29.23,0,23.27,6922.651837315,5183.14881,1647.008027315,92.495,SENAPATI,,
20,14,MANIPUR,2002,258.0,TAMENGLONG,26944,32126,26694,31812,9,28877,1475065,1236514,288,1123636,555832,47,282.193486729623,0,26300,26840,20,1,2318,1619,699,42.12,0,39.86,5122.96179093592,3489.36197049992,1584.999620436,48.6002,TAMENGLONG,,
20,14,MANIPUR,2003,254.0,CHURACHANDPUR,55962,66319,52973,62337,88,60581,3638374,2600288,1402,2572723,1342664,53,272.15599300539,2,48619,50174,20,72,3889,2815,1074,44.39,0,34.86,8944.49464542999,7076.83962739999,1726.72146803,140.93355,CHURACHANDPUR,,
20,14,MANIPUR,2004,253.0,CHANDEL,19721,21182,17515,18797,3,18617,1225299,642355,50,637214,343333,45,285.372030855213,0,14265,14411,81,315,1145,853,292,28.49,0,25.82,2841.48611528601,1833.10150880001,882.497106486001,125.8875,CHANDEL,,
20,14,MANIPUR,2005,259.0,THOUBAL,53981,91328,50880,86558,59,59,3044841,1569734,608,281,1111878,34,281.507726754975,0,45904,51144,89,0,3595,2895,700,68.62,6,61.71,7020.15036647194,4418.92249949994,2567.513056972,33.71481,THOUBAL,,
20,14,MANIPUR,2006,252.0,BISHNUPUR,58025,102265,55580,98501,12842,265,3674414,1529891,170311,3695,1089885,32,290.404000670637,0,47628,51610,181,0,3016,2385,631,92.98,2,77.13,7205.453208765,4442.86466990001,2690.55779886499,72.03074,BISHNUPUR,,
20,14,MANIPUR,2007,256.0,IMPHAL WEST,72526,118774,69695,114782,5762,1461,4543825,1924083,120526,22926,1495722,30,350.691175307927,0,62732,67775,114,0,9848,8863,985,87.26,48,85.8,9273.19984045002,6747.58928660003,2489.02065385,36.5899,IMPHAL WEST,,
20,14,MANIPUR,2008,260.0,UKHRUL,44259,46894,42718,45265,67,44831,2690629,1351283,1913,1340451,664659,34,296.738897218427,0,39187,39754,47,2,1869,1697,172,42.01,0,26.04,5113.95469360008,4009.78227250008,1072.4975611,31.67486,UKHRUL,,
20,14,MANIPUR,2009,255.0,IMPHAL EAST,125401,159605,110044,142359,348,1097,7775442,2426668,8821,13996,1763611,29,447.752667505402,38,81075,89027,349,0,8366,7199,1167,92.73,0,59.0,15327.368523327,10865.4707015,4395.09944182699,66.79838,IMPHAL EAST,,
20,14,MANIPUR,2010,713.0,JIRIBAM,11093,16224,10616,15664,2643,1020,678444,325424,61689,18307,158599,33,282.820578691184,1,9745,10309,62,0,684,553,131,75.14,8,13.64,1554.520426534,920.36604,598.442706534,35.71168,JIRIBAM,,
20,14,MANIPUR,2011,712.0,KANGPOKPI,39912,89871,33678,76177,173,64646,2530221,778921,1105,620231,391692,32,329.018248384625,0,24132,25254,19,199,3062,2782,280,68.07,1,67.78,3368.66540710001,2562.79223050001,781.7231766,24.15,KANGPOKPI,,
20,14,MANIPUR,2012,711.0,KAKCHING,34345,68449,31392,63163,3997,26,2519068,934506,81856,785,611965,32,276.532858323005,2,28651,35180,965,0,1735,1354,381,49.74,0,33.91,4786.17862117198,2584.21615299998,2187.102618172,14.85985,KAKCHING,,
20,14,MANIPUR,2013,717.0,KAMJONG,16929,20934,15699,19465,31,19365,1108539,601021,345,598398,255195,45,282.056653661016,0,13123,13486,46,5,1590,1207,383,48.63,18,46.02,3002.96507654498,1695.21972039998,1272.819356145,34.926,KAMJONG,,
20,14,MANIPUR,2014,714.0,NONEY,10131,14561,9883,14232,1,13156,833822,369372,31,340542,140615,39,284.887935008619,0,9301,9674,4,35,473,361,112,41.1,5,37.66,1466.76705793803,1052.29626330003,394.470794638,20.0,NONEY,,
20,14,MANIPUR,2015,715.0,PHERZAWL,9126,12045,8834,11740,0,11592,515393,427842,0,422681,157959,50,282.870482093857,0,8452,8661,1,13,534,370,164,65.46,0,64.55,1472.892575348,1210.238728,215.523247348,47.1306,PHERZAWL,,
20,14,MANIPUR,2016,716.0,TENGNOUPAL,17232,26817,14861,22650,234,21187,1088102,598113,5800,567715,297328,46,304.99008429847,0,12977,13149,19,26,1443,1143,300,39.41,1,33.58,2452.71926317511,1824.18534290011,609.200620275,19.3333,TENGNOUPAL,,
21,17,MEGHALAYA,2101,275.0,WEST JAINTIA HILLS,68309,111195,52459,87916,166,87579,1325098,911778,3519,905613,764818,30,275.346827407549,142,30013,32144,189,24,8248,6898,1350,21.53,70,13.15,3756.133127779,2510.551796,1113.311301779,132.27003,WEST JAINTIA HILLS,,
21,17,MEGHALAYA,2102,274.0,EAST KHASI HILLS,129687,185359,99747,144718,392,142187,3812694,2584197,5330,2540493,2050672,38,275.448117682205,1021,66402,69612,854,69,17904,7683,10221,27.26,72,17.59,10172.65095382,7118.1219937,2634.75672012,419.77224,EAST KHASI HILLS,,
21,17,MEGHALAYA,2103,279.0,WEST KHASI HILLS,43956,87193,30916,62128,0,62024,1502890,556099,0,554643,367859,40,278.223855176866,178,13659,16739,81,177,4697,3239,1458,23.53,55,17.0,2599.369064212,1547.2000764,911.283517812001,140.88547,WEST KHASI HILLS,,
21,17,MEGHALAYA,2104,273.0,EAST GARO HILLS,38081,72807,37527,71845,46,70843,2532846,2096634,1092,2066880,1093643,58,285.501032369025,1074,36075,56737,37,4,8526,5360,3166,47.79,44,42.32,8802.910673337,5985.91171499999,2670.306438337,146.69252,EAST GARO HILLS,,
21,17,MEGHALAYA,2105,278.0,WEST GARO HILLS,139586,246485,133169,236493,4149,155263,7058486,5342634,60034,4693398,3003429,55,290.02385252106,3323,96429,102394,233,23,24465,23421,1044,31.02,17,26.31,23670.364358836,15494.9129529,7900.346735936,275.10467,WEST GARO HILLS,,
21,17,MEGHALAYA,2106,277.0,SOUTH GARO HILLS,47717,96728,41681,84620,374,81867,2561246,1724080,7948,1667490,971124,53,276.714760283746,329,32387,33069,157,18,13569,8946,4623,41.46,49,41.1,7312.978588665,4770.7838391,2349.968339565,192.22641,SOUTH GARO HILLS,,
21,17,MEGHALAYA,2107,276.0,RI BHOI  ,66782,123396,51525,99268,359,96320,1775787,1055437,4017,1023415,720774,35,293.197674896748,274,29722,37907,120,67,11334,7695,3639,38.76,74,25.46,4781.34955999399,3094.51674399999,1489.105865994,197.72695,RI BHOI,,
21,17,MEGHALAYA,2108,657.0,East Jaintia Hills,38239,55870,31513,46613,4,46505,1238735,787730,58,785485,620778,33,278.394406141698,48,23300,24545,128,32,7783,3573,4210,54.38,69,50.0,3327.924041362,2192.9962555,1038.505725862,96.42206,EAST JAINTIA HILLS,,
21,17,MEGHALAYA,2109,656.0,NORTH GARO HILLS,39211,87470,37830,84523,68,83252,3218194,2461652,2395,2420618,1354510,69,272.843789296781,1129,35525,38417,24,5,4549,3675,874,33.84,15,28.24,8695.790172189,6716.4645961,1900.678866089,78.64671,NORTH GARO HILLS,,
21,17,MEGHALAYA,2110,663.0,SOUTH WEST GARO HILLS,44456,86812,44043,85684,1411,66816,3010458,2093232,27398,1653521,1310294,49,278.626942355171,478,42318,46139,319,9,9905,8399,1506,29.69,38,27.66,8691.04935931999,5832.30831799999,2679.89241132001,178.84863,SOUTH WEST GARO HILLS,,
21,17,MEGHALAYA,2111,658.0,SOUTH WEST KHASI HILLS,27131,49384,25651,47207,4,47143,1198710,1068992,98,1067113,783452,55,273.293895258337,278,19425,21455,408,10,7424,3585,3839,25.45,72,20.84,4103.920787844,2921.4898768,1119.999271044,62.43164,SOUTH WEST KHASI HILLS,,
21,17,MEGHALAYA,2112,740.0,EASTERN WEST KHASI HILLS,33722,62720,26348,50892,0,50864,764856,596939,0,596355,447153,40,281.029151554849,265,14879,19615,144,29,4711,3039,1672,15.32,74,6.74,2331.81976727,1677.572607,590.08102027,64.16614,EASTERN WEST KHASI HILLS,,
22,15,MIZORAM,2201,261.0,AIZAWL,35381,37695,25748,27427,0,27031,2051140,2033547,0,2003341,1058468,78,282.202682052591,0,25929,26290,14,0,3402,789,2613,61.8,79,60.31,6579.2432748,5738.7241748,544.49336,296.02574,AIZAWL,,
22,15,MIZORAM,2202,265.0,LUNGLEI,21891,23777,21774,23649,0,23508,1995966,1638607,0,1628372,598607,76,284.483754158257,0,21435,21551,13,0,2749,1043,1706,82.63,72,62.64,5351.7670371,4661.5707095,383.1970476,306.99928,LUNGLEI,,
22,15,MIZORAM,2203,267.0,Siaha,20100,21612,20032,21542,34,21027,1958517,1567071,2612,1528413,830973,77,281.477363552771,0,20333,20434,58,0,2171,1001,1170,82.75,66,72.93,4867.54652540004,4410.95013580004,233.8343096,222.76208,SIAHA,,
22,15,MIZORAM,2204,266.0,MAMIT,23674,27568,23609,27500,2,27461,2433830,2001505,176,1998895,832019,82,281.089853605162,0,24177,24363,14,0,3380,1050,2330,84.78,82,72.01,6260.7242877,5626.0274744,344.3716033,290.32521,MAMIT,,
22,15,MIZORAM,2205,263.0,KOLASIB,21387,21933,21365,21911,10,21797,2123461,1574759,736,1566801,990280,73,290.696579603609,0,21565,22012,2,0,2169,420,1749,85.13,86,59.62,4927.9729976,4577.77055,182.3150676,167.88738,KOLASIB,,
22,15,MIZORAM,2206,262.0,CHAMPHAI ,17048,17953,17009,17911,0,17883,1974145,1431949,0,1430169,660304,81,281.338129011578,0,17534,17743,25,0,1546,516,1030,60.19,74,59.9,4495.241685,4028.618525,271.755,194.86816,CHAMPHAI,,
22,15,MIZORAM,2207,268.0,SERCHHIP,16147,21348,16130,21321,4,21150,1669024,1207057,302,1196522,663411,74,291.732866078404,0,16267,16491,19,0,2026,498,1528,83.68,67,78.87,3935.5022179,3521.3819813,233.4920266,180.62821,SERCHHIP,,
22,15,MIZORAM,2208,264.0,LAWNGTLAI,42280,49296,42082,47226,10,46512,3958612,2779194,690,2737966,1428035,65,282.133902818588,0,42473,42881,1,0,4057,1754,2303,91.65,65,83.2,8605.23458140003,7841.04849910002,452.4551823,311.7309,LAWNGTLAI,,
22,15,MIZORAM,2209,726.0,HNAHTHIAL,6632,8742,6621,8727,0,8665,691488,571084,0,566577,234657,85,280.901783275315,0,6698,6927,87,0,845,166,679,88.27,79,84.36,1754.9836327,1604.18514,89.0779727,61.72052,HNAHTHIAL,,
22,15,MIZORAM,2210,728.0,KHAWZAWL,10120,10286,10107,10273,0,10272,878917,820669,0,820657,350002,79,281.176525493226,0,10375,10564,3,0,1270,375,895,66.13,77,64.88,2520.76124,2307.52858,113.88806,99.3446,KHAWZAWL,,
22,15,MIZORAM,2211,727.0,SAITUAL,8182,9335,8163,9314,1,9277,1264900,637257,31,634689,221715,77,281.942191298016,0,8249,8428,37,0,666,118,548,87.89,67,77.24,1990.8592942,1796.69635,90.7990642,103.36388,SAITUAL,,
23,13,NAGALAND,2301,245.0,KOHIMA,45100,64078,43029,61422,0,61415,1706560,409122,0,409008,207286,28,234.599997482413,0,14457,15453,6,3,549,415,134,55.12,7,52.34,1619.591003148,959.800201699997,549.448001448,110.3428,KOHIMA,,
23,13,NAGALAND,2302,248.0,PHEK,40418,67515,38666,64741,0,64736,1187021,803070,0,802913,348008,36,230.778572067193,0,21887,22196,75,3,1180,1032,148,73.03,1,66.43,2450.92033948501,1853.31347870001,509.222400785,88.38446,PHEK,,
23,13,NAGALAND,2303,251.0,ZUNHEBOTO,38959,62032,34581,56750,0,56746,1208096,725581,0,725458,358010,31,241.025847755109,0,22977,24352,71,1,709,692,17,74.45,8,70.39,1824.9477864,1748.8377564,0.0,76.11003,ZUNHEBOTO,,
23,13,NAGALAND,2304,250.0,WOKHA,51457,59425,45938,53372,0,53231,1232128,912935,0,911814,484563,29,236.784118683148,0,30589,30816,11,2,590,507,83,80.09,1,80.09,3470.8064267,2161.6850939,1241.0732628,68.04807,WOKHA,,
23,13,NAGALAND,2305,246.0,MOKOKCHUNG,34603,39972,33777,39096,0,39092,1185657,923619,0,923449,473324,47,237.177031936329,74,19515,20143,16,0,588,470,118,48.69,0,42.84,3312.9162752,2190.6121306,1020.7306946,101.57345,MOKOKCHUNG,,
